  0.83715759E+00  0.44061430E+01  0.13758881E-02
  0.84277997E+00  0.44104279E+01  0.12838817E-02
  0.84840234E+00  0.44147773E+01  0.12226148E-02
  0.85402471E+00  0.44191900E+01  0.11827572E-02
  0.85964708E+00  0.44236645E+01  0.11588089E-02
  0.86526945E+00  0.44281993E+01  0.11479415E-02
  0.87089183E+00  0.44327929E+01  0.11493516E-02
  0.87651420E+00  0.44374439E+01  0.11640480E-02
  0.88213657E+00  0.44421505E+01  0.11950284E-02
  0.88775894E+00  0.44469112E+01  0.12478558E-02
  0.89338131E+00  0.44517242E+01  0.13316441E-02
  0.89900369E+00  0.44565878E+01  0.14602121E-02
  0.90462606E+00  0.44615003E+01  0.16521697E-02
  0.91024843E+00  0.44664597E+01  0.19263109E-02
  0.91587080E+00  0.44714642E+01  0.22868362E-02
  0.92149317E+00  0.44765119E+01  0.27024769E-02
  0.92711555E+00  0.44816010E+01  0.31079369E-02
  0.93273792E+00  0.44867296E+01  0.34432205E-02
  0.93836029E+00  0.44918958E+01  0.36861123E-02
  0.94398266E+00  0.44970978E+01  0.38454483E-02
  0.94960503E+00  0.45023335E+01  0.39402114E-02
  0.95522741E+00  0.45076008E+01  0.39872717E-02
  0.96084978E+00  0.45128974E+01  0.39978527E-02
  0.96647215E+00  0.45182211E+01  0.39771697E-02
  0.97209452E+00  0.45235693E+01  0.39236436E-02
  0.97771689E+00  0.45289395E+01  0.38245791E-02
  0.98333927E+00  0.45343291E+01  0.36398247E-02
  0.98896164E+00  0.45397352E+01  0.32361142E-02
  0.99458401E+00  0.45451546E+01  0.21682019E-02
  0.10002064E+01  0.45505835E+01  0.65985282E-03
  0.10058288E+01  0.45560190E+01  0.29085586E-03
  0.10114511E+01  0.45614585E+01  0.26587039E-03
  0.10170735E+01  0.45668992E+01  0.27098169E-03
  0.10226959E+01  0.45723377E+01  0.27132975E-03
  0.10283182E+01  0.45777705E+01  0.26492852E-03
  0.10339406E+01  0.45831940E+01  0.25337116E-03
  0.10395630E+01  0.45886044E+01  0.23825805E-03
  0.10451854E+01  0.45939978E+01  0.22086281E-03
  0.10508077E+01  0.45993700E+01  0.20223222E-03
  0.10564301E+01  0.46047166E+01  0.18331487E-03
  0.10620525E+01  0.46100333E+01  0.16506564E-03
  0.10676748E+01  0.46153151E+01  0.14852477E-03
  0.10732972E+01  0.46205572E+01  0.13487208E-03
  0.10789196E+01  0.46257543E+01  0.12544829E-03
  0.10845420E+01  0.46309010E+01  0.12172616E-03
  0.10901643E+01  0.46359914E+01  0.12520660E-03
  0.10957867E+01  0.46410195E+01  0.13721803E-03
  0.11014091E+01  0.46459788E+01  0.15862071E-03
  0.11070315E+01  0.46508625E+01  0.18946617E-03
  0.11126538E+01  0.46556633E+01  0.22872345E-03
  0.11182762E+01  0.46603737E+01  0.27421236E-03
  0.11238986E+01  0.46649855E+01  0.32283480E-03
  0.11295209E+01  0.46694900E+01  0.37106732E-03
  0.11351433E+01  0.46738780E+01  0.41555033E-03
  0.11407657E+01  0.46781398E+01  0.45357302E-03
  0.11463881E+01  0.46822650E+01  0.48332719E-03
  0.11520104E+01  0.46862423E+01  0.50392047E-03
  0.11576328E+01  0.46900599E+01  0.51522239E-03
  0.11632552E+01  0.46937051E+01  0.51763774E-03
  0.11688775E+01  0.46971646E+01  0.51188092E-03
